audio,accuracy_avg,fluency_avg,prosody_avg,count
bf99dc97-fa1c-47be-8334-617d99367edd---d118f4b4-7f39-4195-b77d-fe00ac8201d.wav,2.6,2.6,1.8,5
c5010521-415b-4f54-9e81-f38e27054d9c---4b7206e4-78b0-4aba-83b0-5c7da1c0552.wav,3.6,3.8,3.4,5
cbfa6fe0-f25d-4b44-816e-79938af0c780---540a6466-10c4-494e-9004-2a65e3ae33a.wav,2.2,1.4,1.8,5
d0c1b879-0160-4fde-ae4a-9934dc3df78b---9812ec6a-2d2f-4627-b15c-718c59d24e0.wav,3.4,3.8,3.4,5
d13f6dbb-3a1f-4b05-b16d-9fa7b33763f7---74799c67-9cb5-4320-b72f-42dccfb8963.wav,3.0,2.8,3.2,5
f1ab2663-fe7a-48d0-b504-043a718d8906---71e838e8-b508-4f2a-aa33-42a49b78eff.wav,3.4,3.6,3.6,5
f353a88e-cfcb-44d7-a23b-f6c26c9ea908---a5d60c2b-f9fe-4e81-9e83-0c9e7678254.wav,3.6,3.4,3.6,5
fc73fa8c-ba24-455f-8089-25b039544b56---10d4673f-aa62-4414-b15d-f0557863abd.wav,4.0,4.4,4.0,5
fc73fa8c-ba24-455f-8089-25b039544b56---ba1d3b80-847d-47fb-aa10-497635abed4.wav,3.8,4.4,4.0,5
fe3d2889-9580-4a1c-9766-42f89942265e---e04cfbe6-34e1-4908-aede-9aef0319f59.wav,3.2,2.8,2.8,5
